store_id,location,page,map
004495,"Taco Bell, Nicholasville, Kentucky",https://locations.tacobell.com/ky/nicholasville/1011-n-main-st.html,"https://www.google.com/maps/dir/?api=1&destination=37.89842836691553,-84.5659375975451"
037344,"Taco Bell, Nicholasville, Kentucky",https://locations.tacobell.com/ky/nicholasville/116-hendren-way.html,"https://www.google.com/maps/dir/?api=1&destination=37.871478469798106,-84.5981207391971"
042036,"Taco Bell, Nicholasville, Kentucky",https://locations.tacobell.com/ky/nicholasville/150-hope-court.html,"https://www.google.com/maps/dir/?api=1&destination=37.948015,-84.542281"
041495,"Taco Bell, Owingsville, Kentucky",https://locations.tacobell.com/ky/owingsville/18-miller-scenic-view-drive.html,"https://www.google.com/maps/dir/?api=1&destination=38.12931842760738,-83.75394771330907"
028866,"Taco Bell, Owensboro, Kentucky",https://locations.tacobell.com/ky/owensboro/4620-frederica.html,"https://www.google.com/maps/dir/?api=1&destination=37.72488003431773,-87.12416996063439"
028920,"Taco Bell, Owensboro, Kentucky",https://locations.tacobell.com/ky/owensboro/3335-villa-point.html,"https://www.google.com/maps/dir/?api=1&destination=37.752398107837685,-87.05747789530955"
028891,"Taco Bell, Owensboro, Kentucky",https://locations.tacobell.com/ky/owensboro/2500-west-parrish-avenue.html,"https://www.google.com/maps/dir/?api=1&destination=37.75765017889054,-87.14294542373858"
024662,"Taco Bell, Paintsville, Kentucky",https://locations.tacobell.com/ky/paintsville/603-n--mayo-trail.html,"https://www.google.com/maps/dir/?api=1&destination=37.8254778,-82.8228969"
037483,"Taco Bell, Paducah, Kentucky",https://locations.tacobell.com/ky/paducah/3120-james-sanders-blvd.html,"https://www.google.com/maps/dir/?api=1&destination=37.07912310547686,-88.68396569790093"
037485,"Taco Bell, Paducah, Kentucky",https://locations.tacobell.com/ky/paducah/1525-lone-oak-road.html,"https://www.google.com/maps/dir/?api=1&destination=37.05329364485004,-88.64940403944378"
017315,"Taco Bell, Pikeville, Kentucky",https://locations.tacobell.com/ky/pikeville/4368-north-mayo-trail.html,"https://www.google.com/maps/dir/?api=1&destination=37.52597575368553,-82.57294754293785"
035299,"Taco Bell, Pikeville, Kentucky",https://locations.tacobell.com/ky/pikeville/384-s-mayo-trail.html,"https://www.google.com/maps/dir/?api=1&destination=37.4665123561317,-82.53181456569088"
028463,"Taco Bell, Prestonsburg, Kentucky",https://locations.tacobell.com/ky/prestonsburg/740-n-lake-dr.html,"https://www.google.com/maps/dir/?api=1&destination=37.67661662843862,-82.7784526348114"
030534,"Taco Bell, Princeton, Kentucky",https://locations.tacobell.com/ky/princeton/302-parkway-ave-.html,"https://www.google.com/maps/dir/?api=1&destination=37.112591937114765,-87.90106107296197"
034663,"Taco Bell, Radcliff, Kentucky",https://locations.tacobell.com/ky/radcliff/311-s--dixie-blvd-.html,"https://www.google.com/maps/dir/?api=1&destination=37.83629746718794,-85.93585919937291"
040565,"Taco Bell, Radcliff, Kentucky",https://locations.tacobell.com/ky/radcliff/3040-s--dixie-blvd.html,"https://www.google.com/maps/dir/?api=1&destination=37.7986,-85.916"
022284,"Taco Bell, Richmond, Kentucky",https://locations.tacobell.com/ky/richmond/514-eastern-bypass.html,"https://www.google.com/maps/dir/?api=1&destination=37.73597126349984,-84.3093260913156"
030882,"Taco Bell, Richmond, Kentucky",https://locations.tacobell.com/ky/richmond/2173-lexington-road.html,"https://www.google.com/maps/dir/?api=1&destination=37.777037803334814,-84.3225732281723"
036472,"Taco Bell, Russell Springs, Kentucky",https://locations.tacobell.com/ky/russell-springs/305-s-hwy-127.html,"https://www.google.com/maps/dir/?api=1&destination=37.06146134829375,-85.0714303426597"
015281,"Taco Bell, Russellville, Kentucky",https://locations.tacobell.com/ky/russellville/590-n-main-st.html,"https://www.google.com/maps/dir/?api=1&destination=36.85044189211677,-86.8894224911918"
035007,"Taco Bell, Scottsville, Kentucky",https://locations.tacobell.com/ky/scottsville/1751-old-gallatin-rd.html,"https://www.google.com/maps/dir/?api=1&destination=36.73741206313465,-86.21216040032846"
035324,"Taco Bell, Salyersville, Kentucky",https://locations.tacobell.com/ky/salyersville/357-e-mountain-parkway.html,"https://www.google.com/maps/dir/?api=1&destination=37.740873142117245,-83.04458851781051"
034660,"Taco Bell, Louisville, Kentucky",https://locations.tacobell.com/ky/louisville/4910-shelbyville-rd.html,"https://www.google.com/maps/dir/?api=1&destination=38.25012448941515,-85.62562783064095"
